id,sierra-system-no,referenceNumber,availabilities,title,alternativeTitles,workType,physicalDescription,genres,subjects,contributors,production.dates,production.agents,production.places,languages,description,lettering,duration,images,thumbnail.license.label,thumbnail.url,collection.url
brsc4hv7,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 18']",,,,,,"Oriental Manuscript in Burmese-Pali 
Two palm leaves.",,,['nv5pu4zs'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026539/full/300,/0/default.jpg",https://wellcomecollection.org/works/brsc4hv7
fb4xpynk,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 93']",,,,,,"Oriental Manuscript in Burmese-Pali 
Exterior view of manuscript.",,,['ugengawa'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026549/full/300,/0/default.jpg",https://wellcomecollection.org/works/fb4xpynk
fqd62eja,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 20']",,,,,,"Oriental Manuscript in Burmese-Pali 
Container.",,,['w9c7pgam'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026544/full/300,/0/default.jpg",https://wellcomecollection.org/works/fqd62eja
par8v5ge,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 26']",,,,,,"Oriental Manuscript in Burmese-Pali 
Two openings with text.",,,['fsutnn7h'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026540/full/300,/0/default.jpg",https://wellcomecollection.org/works/par8v5ge
suw93mhq,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 20']",,,,,,"Oriental Manuscripts: Burmese-Pali 
Container.",,,['xbb4uazt'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026545/full/300,/0/default.jpg",https://wellcomecollection.org/works/suw93mhq
sw9qb4yv,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 20']",,,,,,"Oriental Manuscript in Burmese-Pali.
Royal letter.",,,['b6rsewv9'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026543/full/300,/0/default.jpg",https://wellcomecollection.org/works/sw9qb4yv
v2z6k623,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 27']",,,,,,"Oriental Manuscript in Burmese-Pali 
Text in decorative floral shape.",,,['ktptz42w'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026546/full/300,/0/default.jpg",https://wellcomecollection.org/works/v2z6k623
b6v5ttcq,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,['Manuscript'],"['Buddhist', 'God', 'BURMESE-PALI', 'OR. MS. 22']",,,,,,"(Left) Princess Yasodhara points to Prince Siddhattha, Bodhisatta performing feats of archery.",,,['x85rga2w'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026535/full/300,/0/default.jpg",https://wellcomecollection.org/works/b6v5ttcq
bpj649xj,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 22', 'A.17']",,,,,,"Oriental Manuscript in Burmese-Pali 
Outline tamarind-seed script.",,,['wr3zfsv4'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026514/full/300,/0/default.jpg",https://wellcomecollection.org/works/bpj649xj
btqab6mr,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 11.1', 'A.9']",,,,,,"A manussiha (""man-lion""), a human head with the bodies of two lions.",,,['s7adzf3j'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026486/full/300,/0/default.jpg",https://wellcomecollection.org/works/btqab6mr
c635pnak,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 7', 'A.4']",,,,,,"Oriental Manuscript in Burmese-Pali 
Four panels with hansa birds with plants in beaks.",,,['yqpkmsb8'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026489/full/300,/0/default.jpg",https://wellcomecollection.org/works/c635pnak
cghxsu2f,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 44', 'B.21']",,,,,,"Oriental Manuscript in Burmese-Pali.
Three devas, two holding flowers, one seated deva holding a sword (Sakka?)",,,['gqm52q7v'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026501/full/300,/0/default.jpg",https://wellcomecollection.org/works/cghxsu2f
cky9vt8k,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 16', 'B.3']",,,,,,"Oriental Manuscript in Burmese-Pali 
Floral design with two birds.",,,['rhzd8r5n'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026491/full/300,/0/default.jpg",https://wellcomecollection.org/works/cky9vt8k
d4eaarc8,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 37', 'B.17']",,,,,,"Oriental Manuscript in Burmese-Pali 
Intertwining nagas.",,,['sjkcwpsj'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026507/full/300,/0/default.jpg",https://wellcomecollection.org/works/d4eaarc8
dd5yr7pv,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 36', 'B.13']",,,,,,"Oriental Manuscript in Burmese-Pali.
Wooden cover with inlaid coloured glass and raised design.",,,['ehssjcha'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026511/full/300,/0/default.jpg",https://wellcomecollection.org/works/dd5yr7pv
deeghmwk,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 1', 'B.1']",,,,,,"Oriental Manuscript in Burmese-Pali.
Winged figure (deva?); medallion with waves and stars (?).",,,['dbjyqd6k'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026515/full/300,/0/default.jpg",https://wellcomecollection.org/works/deeghmwk
e4w7ztzr,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 9', 'A.6']",,,,,,"Oriental Manuscript in Burmese-Pali.
Two medallions, one with a flower (lotus?), one with hansa bird and seperated by intertwining plants.",,,['nqjqe5yb'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026488/full/300,/0/default.jpg",https://wellcomecollection.org/works/e4w7ztzr
efbut5cj,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 43', 'B.19']",,,,,,"Oriental Manuscript in Burmese-Pali. Deva holding flower and hansa bird, sketchy style.",,,['d87fcfg6'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026500/full/300,/0/default.jpg",https://wellcomecollection.org/works/efbut5cj
f49nzxez,,,['Online'],Burmese-Pali manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 3', 'A.23']",,,,,,"Oriental Manuscripts in Burmese-Pali. 
Floral designs between lines in a Kammavaca text.",,,['mfe4d6j2'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026479/full/300,/0/default.jpg",https://wellcomecollection.org/works/f49nzxez
f578kqwq,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 26', 'A.14']",,,,,,Medallions with abstract designs.,,,['nc7nhh6z'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026496/full/300,/0/default.jpg",https://wellcomecollection.org/works/f578kqwq
g56kfnqd,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 27', 'B.10']",,,,,,"Framed khran-se (chin-the), Burmese lion (or griffin-lion); floral design as divider.",,,['vxfzypa9'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026519/full/300,/0/default.jpg",https://wellcomecollection.org/works/g56kfnqd
g9pzqs4z,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 9', 'A.5']",,,,,,"Oriental Manuscript in Burmese-Pali 
Medallion with hansa bird.",,,['q5f2awak'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026480/full/300,/0/default.jpg",https://wellcomecollection.org/works/g9pzqs4z
h4brn3zb,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 43', 'B.18']",,,,,,"Oriental Manuscript in Burmese-Pali.
Medallion with platted design and floral design (lotus bud?) as divider.",,,['b5y32edu'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026508/full/300,/0/default.jpg",https://wellcomecollection.org/works/h4brn3zb
h6ajntg3,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 21', 'B.11']",,,,,,"Oriental Manuscript in Burmese-Pali.
Medallion with lotus flowers.",,,['yjvc9d38'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026517/full/300,/0/default.jpg",https://wellcomecollection.org/works/h6ajntg3
hr95hpse,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 19', 'B.7']",,,,,,"Oriental Manuscript in Burmese-Pali 
Yakkha with sword.",,,['hsspaytr'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026522/full/300,/0/default.jpg",https://wellcomecollection.org/works/hr95hpse
htss6arw,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 36', 'B.14']",,,,,,"Oriental Manuscript in Burmese-Pali 
Deva and medallion with hansa bird.",,,['rchh2tmb'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026510/full/300,/0/default.jpg",https://wellcomecollection.org/works/htss6arw
jfbqhcak,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 2', 'B.2']",,,,,,"Oriental Manuscript in Burmese-Pali 
Deva holding flower.",,,['qwywwsna'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026513/full/300,/0/default.jpg",https://wellcomecollection.org/works/jfbqhcak
jjkzwwup,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 28', 'A.16']",,,,,,"Oriental Manuscript in Burmese-Pali 
Medallions with flowers.",,,['weekzhk6'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026498/full/300,/0/default.jpg",https://wellcomecollection.org/works/jjkzwwup
md94pzda,,,['Online'],Burmese-Pali Manuscrpt.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 25', 'B.12']",,,,,,"Oriental Manuscript in Burmese-Pali 
Khran-se, Burmese lion.",,,['dntsj8an'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026516/full/300,/0/default.jpg",https://wellcomecollection.org/works/md94pzda
memeu7z6,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 37', 'B.15']",,,,,,Deva holding flower and framed hansa bird.,,,['n45wr5ev'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026504/full/300,/0/default.jpg",https://wellcomecollection.org/works/memeu7z6
ms5mh6dy,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 84', 'B.23']",,,,,,King and queen (?) holding flowers.,,,['qsaevfkt'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026503/full/300,/0/default.jpg",https://wellcomecollection.org/works/ms5mh6dy
myk6qzay,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 28', 'A.15']",,,,,,"Oriental Manuscript in Burmese-Pali 
Medallions with abstract designs.",,,['sgpkr7ea'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026499/full/300,/0/default.jpg",https://wellcomecollection.org/works/myk6qzay
naq29u9r,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 37', 'B.16']",,,,,,Floral design in divider.,,,['v7ux7mja'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026506/full/300,/0/default.jpg",https://wellcomecollection.org/works/naq29u9r
nrgjj32f,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 11.1', 'A.10']",,,,,,"Oriental Manuscript in Burmese-Pali 
Abstract design.",,,['ntr46mqa'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026487/full/300,/0/default.jpg",https://wellcomecollection.org/works/nrgjj32f
pau474wy,,,['Online'],Burmese-Pali manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 3', 'A.22']",,,,,,"Oriental Manuscripts: Burmese-Pali.
Floral designs between lines in a Kammavaca text.",,,['jc9rge9c'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026478/full/300,/0/default.jpg",https://wellcomecollection.org/works/pau474wy
pspjhyfn,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 11.1', 'A.7']",,,,,,"Oriental Manuscript in Burmese-Pali 
Abstract cross design.",,,['dc2v2fzj'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026484/full/300,/0/default.jpg",https://wellcomecollection.org/works/pspjhyfn
qjjw7rbn,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 80', 'A.20']",,,,,,"Oriental Manuscript in Burmese-Pali 
Medallion with hansa bird.",,,['g9pwwu8u'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026518/full/300,/0/default.jpg",https://wellcomecollection.org/works/qjjw7rbn
qxs7d8mf,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 19', 'B.9']",,,,,,"Oriental Manuscript in Burmese-Pali 
Yakkha.",,,['y38yqqch'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026520/full/300,/0/default.jpg",https://wellcomecollection.org/works/qxs7d8mf
r6brv5fb,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 19', 'B.8']",,,,,,"Oriental Manuscript in Burmese-Pali.
Framed hansa bird.",,,['e5fw44kz'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026521/full/300,/0/default.jpg",https://wellcomecollection.org/works/r6brv5fb
rapcr9cb,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 11.1', 'A.8']",,,,,,"Oriental Manuscript in Burmese-Pali 
Abstract diamond design.",,,['e5c34fr5'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026485/full/300,/0/default.jpg",https://wellcomecollection.org/works/rapcr9cb
rbk9jy82,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 40', 'A.18']",,,,,,"Oriental Manuscript in Burmese-Pali 
Intertwining design with flowers.",,,['q9nmdman'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026495/full/300,/0/default.jpg",https://wellcomecollection.org/works/rbk9jy82
rks45p7h,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 8', 'B.4']",,,,,,"Oriental Manuscript in Burmese-Pali 
Outline round Burmese script with floral designs.",,,['ad85y99y'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026512/full/300,/0/default.jpg",https://wellcomecollection.org/works/rks45p7h
rnzmmvks,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 45', 'B.22']",,,,,,Kinnari and devas.,,,['u3qqvctt'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026505/full/300,/0/default.jpg",https://wellcomecollection.org/works/rnzmmvks
smazhzrm,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 26', 'A.13']",,,,,,Medallion with flower.,,,['w5855nnp'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026493/full/300,/0/default.jpg",https://wellcomecollection.org/works/smazhzrm
turumkhc,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 23', 'A.12']",,,,,,"Oriental Manuscript in Burmese-Pali.
Medallion with hansa bird, intertwining plants as a divider.",,,['xdmpu2j8'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026492/full/300,/0/default.jpg",https://wellcomecollection.org/works/turumkhc
ue53qh52,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 5', 'A.2']",,,,,,"Oriental Manuscript in Burmese-Pali 
Medallion with flower.",,,['uantdhev'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026482/full/300,/0/default.jpg",https://wellcomecollection.org/works/ue53qh52
wmb6b5a2,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 17', 'B.5']",,,,,,"Oriental Manuscript in Burmese-Pali.
Kinnari (female upper body with lower body as bird).",,,['ae7czgcb'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026524/full/300,/0/default.jpg",https://wellcomecollection.org/works/wmb6b5a2
wnfeumwn,,,['Online'],Burmese-Pali manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 3', 'A.1']",,,,,,"Oriental Manuscripts in Burmese-Pali 
Medallion with flower.",,,['wj4c24tm'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026481/full/300,/0/default.jpg",https://wellcomecollection.org/works/wnfeumwn
xv4qxr9n,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 17', 'B.6']",,,,,,Soldier with sword.,,,['upyv4y4n'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026523/full/300,/0/default.jpg",https://wellcomecollection.org/works/xv4qxr9n
xwwzstjm,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 29', 'C.1']",,,,,,"Oriental Manuscript in Burmese-Pali 
Design in guilding of leaves.",,,['ngy5xf5h'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026509/full/300,/0/default.jpg",https://wellcomecollection.org/works/xwwzstjm
ygpbvh6f,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 16', 'A.11']",,,,,,"Oriental Manuscript in Burmese-Pali.
Seated Buddha making the gesture of taking the earth as his witness (bhumisparsa-mudra).",,,['eqww2j3q'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026490/full/300,/0/default.jpg",https://wellcomecollection.org/works/ygpbvh6f
zfquh5p8,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 105', 'B.20']",,,,,,"Khran-se Burmese lion, sketchy style.",,,['eyu73zgc'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026502/full/300,/0/default.jpg",https://wellcomecollection.org/works/zfquh5p8
zh2k7fd4,,,['Online'],Burmese-Pali Manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 5', 'A.3']",,,,,,"Oriental Manuscripts: Burmese-Pali 
Medallion with hansa bird with plant in beak.",,,['zz5zuw6m'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026483/full/300,/0/default.jpg",https://wellcomecollection.org/works/zh2k7fd4
zh48e62t,,,['Online'],Burmese-Pali manuscript.,,Digital Images,,,"['BURMESE-PALI', 'OR. MS. 42', 'A.19']",,,,,,"Oriental Manuscript in Burmese-Pali 
Lattice design with flowers.",,,['g2sbnfet'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0026494/full/300,/0/default.jpg",https://wellcomecollection.org/works/zh48e62t
aavm7c6v,,,['Online'],Burmese-Pali Manuscript,,Digital Images,,,,,,,,,,,,['avq6kcx3'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0067944/full/300,/0/default.jpg",https://wellcomecollection.org/works/aavm7c6v
e3sg84xf,,,['Online'],Burmese-Pali Manuscript,,Digital Images,,,,,,,,,,,,['rm5dajkk'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0067949/full/300,/0/default.jpg",https://wellcomecollection.org/works/e3sg84xf
mh6r3qkv,,,['Online'],Burmese-Pali Manuscript,,Digital Images,,,,,,,,,,,,['fvam9vve'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0067948/full/300,/0/default.jpg",https://wellcomecollection.org/works/mh6r3qkv
qe85uexn,,,['Online'],Burmese-Pali Manuscript,,Digital Images,,,,,,,,,,,,['zr4d89fs'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0067946/full/300,/0/default.jpg",https://wellcomecollection.org/works/qe85uexn
w6dtn2xb,,,['Online'],Burmese-Pali Manuscript,,Digital Images,,,,,,,,,,,,['t9ph9bzu'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0067945/full/300,/0/default.jpg",https://wellcomecollection.org/works/w6dtn2xb
waf43t78,,,['Online'],Burmese-Pali Manuscript,,Digital Images,,,,,,,,,,,,['muu33xkw'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0067947/full/300,/0/default.jpg",https://wellcomecollection.org/works/waf43t78
abaxpana,b14868969,,['Closed stores'],[Wellcome MS Burmese 15].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/abaxpana
awyc5g2p,b14868970,,['Closed stores'],[Wellcome MS Burmese 16].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/awyc5g2p
bvs4r2pb,b14869019,,['Closed stores'],[Wellcome MS Burmese 20].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/bvs4r2pb
d9rtj6m7,b1486888x,,['Closed stores'],[Wellcome MS Burmese 7].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/d9rtj6m7
e8kzqteq,b14868830,,['Closed stores'],[Wellcome MS Burmese 2].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/e8kzqteq
eeraujq3,b14868994,,['Closed stores'],[Wellcome MS Burmese 18].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/eeraujq3
evvkmaac,b1486907x,,['Closed stores'],[Wellcome MS Burmese 26].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/evvkmaac
fvsftygn,b14868878,,['Closed stores'],[Wellcome MS Burmese 6].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/fvsftygn
gdspkbng,b14869056,,['Closed stores'],[Wellcome MS Burmese 24].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/gdspkbng
j5wqmmgg,b14869081,,['Closed stores'],[Wellcome MS Burmese 27].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/j5wqmmgg
kmjtqrex,b14868957,,['Closed stores'],[Wellcome MS Burmese 14].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/kmjtqrex
mwqfmf4d,b14868866,,['Closed stores'],[Wellcome MS Burmese 5].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/mwqfmf4d
p4e5cvxs,b1486891x,,['Closed stores'],[Wellcome MS Burmese 10].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/p4e5cvxs
pjfdp8vq,b14868829,,['Closed stores'],[Wellcome MS Burmese 1].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/pjfdp8vq
pkrbcdmu,b14869020,,['Closed stores'],[Wellcome MS Burmese 21].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/pkrbcdmu
q3wqmfj7,b14869007,,['Closed stores'],[Wellcome MS Burmese 19].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/q3wqmfj7
q6yqmtkc,b14868842,,['Closed stores'],[Wellcome MS Burmese 3].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/q6yqmtkc
qnq2qntn,b14869044,,['Closed stores'],[Wellcome MS Burmese 23].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/qnq2qntn
ra9kcmaq,b14869032,,['Closed stores'],[Wellcome MS Burmese 22].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/ra9kcmaq
sud39umf,b14868854,,['Closed stores'],[Wellcome MS Burmese 4].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/sud39umf
te8jnv3k,b14868908,,['Closed stores'],[Wellcome MS Burmese 9].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/te8jnv3k
uerpy25u,b14869068,,['Closed stores'],[Wellcome MS Burmese 25].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/uerpy25u
va3zbgj3,b14868921,,['Closed stores'],[Wellcome MS Burmese 11].,,Manuscripts,,"['Manuscripts', 'Burmese']",,,,,,['Burmese'],,,,,,,https://wellcomecollection.org/works/va3zbgj3
